Ref_area;REF_AREA;date;obsValue
France;FRA;1996-06-01;101,6550645282395
United States;USA;1996-07-01;125,5409469330887
Germany;DEU;1996-07-01;91,6990926263834
Europe;EU27;1996-07-01;98,8795475401666
Italy;ITA;1996-07-01;105,4934267662989
France;FRA;1996-07-01;99,5361548436650
United States;USA;1996-08-01;126,1017218005890
Germany;DEU;1996-08-01;92,8664012423353
Europe;EU27;1996-08-01;99,8599402048926
Italy;ITA;1996-08-01;105,9589833024249
France;FRA;1996-08-01;102,3192042550407
United States;USA;1996-09-01;127,0730044103867
Germany;DEU;1996-09-01;93,6446242755378
Europe;EU27;1996-09-01;99,8599402048926
Italy;ITA;1996-09-01;104,2829973173697
France;FRA;1996-09-01;102,0556536691718
United States;USA;1996-10-01;126,9470377474812
Germany;DEU;1996-10-01;92,0881911760587
Europe;EU27;1996-10-01;99,2997139749760
Italy;ITA;1996-10-01;104,6554776362676
France;FRA;1996-10-01;101,0541808168411
United States;USA;1996-11-01;128,0566825453671
Germany;DEU;1996-11-01;93,6446242755378
Europe;EU27;1996-11-01;100,1400468445946
Italy;ITA;1996-11-01;104,0968448829135
France;FRA;1996-11-01;102,3824495071262
United States;USA;1996-12-01;129,1472271144755
Germany;DEU;1996-12-01;93,3852209201123
Europe;EU27;1996-12-01;99,8599402048926
Italy;ITA;1996-12-01;103,3519719701103
France;FRA;1996-12-01;102,2454001887455
United States;USA;1997-01-01;129,3278452881469
Germany;DEU;1997-01-01;92,4773026926600
Europe;EU27;1997-01-01;99,8599402048926
Italy;ITA;1997-01-01;104,2829973173697
France;FRA;1997-01-01;101,2966460642424
United States;USA;1997-02-01;131,1105115034726
Germany;DEU;1997-02-01;93,7743194697876
Europe;EU27;1997-02-01;101,1204395093206
Italy;ITA;1997-02-01;106,4245398385509
France;FRA;1997-02-01;103,1309305877977
United States;USA;1997-03-01;132,3841271865919
Germany;DEU;1997-03-01;95,0713362469152
Europe;EU27;1997-03-01;102,5210115593686
Italy;ITA;1997-03-01;107,0763365341259
France;FRA;1997-03-01;104,3221499597021
United States;USA;1997-04-01;132,2715535779405
Germany;DEU;1997-04-01;94,5525295360641
Europe;EU27;1997-04-01;103,5013912735819
Italy;ITA;1997-04-01;109,0316388958582
France;FRA;1997-04-01;107,4425432599246
United States;USA;1997-05-01;133,2322231325356
Germany;DEU;1997-05-01;93,3852209201123
Europe;EU27;1997-05-01;102,2408790186412
Italy;ITA;1997-05-01;108,8453987364092
